episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,167.5
9,10,337.5
11,12,344.0
13,14,336.0
15,16,341.5
17,18,335.0
19,20,341.5
21,22,329.0
23,24,340.5
25,26,180.5
27,28,165.0
29,30,664.5
31,32,648.0
33,34,581.0
35,36,707.5
37,38,318.0
39,40,0.0
41,42,0.0
43,44,0.0
45,46,0.0
47,48,0.0
49,50,427.5
51,52,205.0
53,54,355.5
55,56,648.5
57,58,690.0
59,60,691.0
61,62,521.5
63,64,604.0
65,66,630.0
67,68,660.5
69,70,598.0
71,72,333.5
73,74,483.5
75,76,337.5
77,78,331.5
79,80,542.5
81,82,336.0
83,84,178.0
85,86,140.0
87,88,0.0
89,90,353.5
91,92,345.5
93,94,352.0
95,96,357.5
97,98,338.5
99,100,167.5
101,102,332.5
103,104,335.5
105,106,340.5
107,108,334.5
109,110,343.5
111,112,166.0
113,114,174.0
115,116,316.0
117,118,340.5
119,120,329.0
121,122,330.0
123,124,332.0
125,126,160.0
127,128,354.5
129,130,315.5
131,132,335.0
133,134,360.0
135,136,184.0
137,138,372.0
139,140,396.5
141,142,217.0
143,144,437.5
145,146,412.5
147,148,196.5
149,150,348.0
151,152,329.0
153,154,343.5
155,156,320.0
157,158,339.5
159,160,321.5
161,162,331.0
163,164,336.5
