episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,165.0
7,8,324.5
9,10,146.5
11,12,0.0
13,14,0.0
15,16,0.0
17,18,0.0
19,20,0.0
21,22,0.0
23,24,0.0
25,26,0.0
27,28,0.0
29,30,0.0
31,32,374.5
33,34,0.0
35,36,0.0
37,38,95.0
39,40,258.0
41,42,128.5
43,44,104.5
45,46,0.0
47,48,0.0
49,50,0.0
51,52,237.0
53,54,304.5
55,56,0.0
57,58,0.0
59,60,237.5
61,62,34.5
63,64,0.0
65,66,113.5
67,68,147.5
69,70,147.0
71,72,0.0
73,74,0.0
75,76,31.0
77,78,0.0
79,80,63.0
81,82,34.0
83,84,57.0
85,86,110.0
87,88,0.0
89,90,96.5
91,92,0.0
93,94,51.0
95,96,0.0
97,98,26.0
99,100,0.0
101,102,49.0
103,104,0.0
105,106,91.5
107,108,91.0
109,110,58.5
111,112,0.0
113,114,63.0
115,116,98.5
117,118,0.0
119,120,69.0
121,122,102.0
123,124,25.5
125,126,66.5
127,128,122.0
129,130,81.0
131,132,113.5
133,134,0.0
135,136,29.5
