episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,100.0
19,20,0.0
21,22,0.0
23,24,0.0
25,26,0.0
27,28,0.0
29,30,0.0
31,32,100.0
33,34,0.0
35,36,0.0
37,38,0.0
39,40,0.0
41,42,0.0
43,44,100.0
45,46,0.0
47,48,200.0
49,50,0.0
51,52,0.0
53,54,100.0
55,56,0.0
57,58,200.0
59,60,200.0
61,62,0.0
63,64,200.0
65,66,0.0
67,68,0.0
69,70,200.0
71,72,200.0
73,74,100.0
75,76,100.0
77,78,100.0
79,80,100.0
81,82,200.0
83,84,100.0
85,86,100.0
87,88,200.0
89,90,200.0
91,92,135.0
93,94,200.0
95,96,200.0
97,98,200.0
99,100,200.0
101,102,140.0
103,104,70.0
105,106,65.0
107,108,130.0
109,110,140.0
111,112,135.0
