episode,timestep,reward
1,2,472.0
3,4,0.0
5,6,0.0
7,8,457.0
9,10,277.5
11,12,244.0
13,14,251.0
15,16,495.5
17,18,618.5
19,20,0.0
21,22,247.0
23,24,573.5
25,26,252.5
27,28,269.5
29,30,432.5
31,32,222.5
33,34,496.0
35,36,491.0
37,38,425.5
39,40,218.0
41,42,238.0
43,44,470.0
45,46,239.5
47,48,235.5
49,50,215.0
51,52,234.5
53,54,341.0
55,56,303.5
57,58,235.5
59,60,706.0
61,62,401.0
63,64,382.5
65,66,482.0
67,68,491.5
69,70,335.5
71,72,539.0
73,74,442.5
75,76,0.0
77,78,380.5
79,80,768.5
81,82,208.0
83,84,229.5
85,86,646.0
87,88,213.5
89,90,369.0
91,92,457.5
93,94,125.0
95,96,553.0
97,98,311.0
99,100,260.5
101,102,142.0
103,104,803.0
105,106,509.5
107,108,568.5
109,110,527.5
111,112,425.0
113,114,447.5
115,116,342.5
117,118,373.5
119,120,183.5
121,122,214.0
123,124,235.0
125,126,619.5
127,128,130.5
129,130,206.5
131,132,244.0
133,134,621.5
135,136,416.5
137,138,467.0
139,140,332.5
141,142,0.0
143,144,40.0
145,146,615.0
147,148,527.5
149,150,247.5
151,152,406.5
153,154,106.0
155,156,107.0
157,158,507.0
159,160,80.0
161,162,490.0
163,164,562.0
165,166,208.5
167,168,894.0
169,170,485.5
171,172,494.0
173,174,253.5
175,176,148.0
177,178,415.5
179,180,474.5
181,182,109.0
183,184,103.0
185,186,163.5
187,188,0.0
189,190,443.0
191,192,353.5
193,194,280.5
195,196,337.0
197,198,355.5
199,200,40.0
201,202,143.0
203,204,405.0
205,206,366.0
207,208,497.0
209,210,132.0
211,212,671.0
213,214,394.5
215,216,148.5
217,218,364.5
219,220,299.5
221,222,190.5
223,224,183.0
225,226,471.5
227,228,443.5
229,230,273.0
231,232,433.0
233,234,40.0
235,236,40.0
237,238,40.0
239,240,338.5
241,242,403.0
243,244,448.5
245,246,40.0
247,248,190.5
249,250,379.5
251,252,461.0
253,254,421.0
255,256,443.0
257,258,131.0
259,260,398.0
261,262,444.5
263,264,465.0
265,266,40.0
267,268,483.0
269,270,322.5
271,272,40.0
273,274,40.0
275,276,290.5
277,278,296.5
279,280,335.5
281,282,80.0
283,284,525.0
285,286,417.5
287,288,369.0
289,290,0.0
291,292,730.5
293,294,20.0
295,296,729.0
297,298,168.0
299,300,258.0
301,302,716.5
303,304,556.0
305,306,571.5
307,308,40.0
309,310,167.0
311,312,699.5
313,314,783.0
315,316,157.5
317,318,40.0
319,320,785.5
321,322,218.5
323,324,101.0
325,326,645.0
327,328,298.5
329,330,214.0
331,332,218.0
333,334,1008.5
335,336,80.0
337,338,721.5
339,340,267.5
341,342,80.0
343,344,212.5
345,346,308.0
347,348,423.0
349,350,710.5
351,352,727.5
353,354,109.5
355,356,619.0
357,358,527.5
359,360,664.0
361,362,143.0
363,364,550.5
365,366,80.0
367,368,490.0
369,370,212.0
371,372,398.0
373,374,407.5
375,376,195.0
377,378,167.0
379,380,677.5
381,382,411.0
383,384,354.5
385,386,118.5
387,388,40.0
389,390,360.0
391,392,498.5
393,394,101.5
395,396,445.5
397,398,160.5
399,400,193.5
401,402,261.5
403,404,416.0
405,406,237.5
407,408,496.0
409,410,80.0
411,412,80.0
413,414,285.0
415,416,701.0
417,418,35.0
419,420,398.0
421,422,111.0
423,424,391.0
425,426,692.5
427,428,145.0
429,430,0.0
431,432,100.5
433,434,507.0
435,436,156.0
437,438,0.0
439,440,0.0
441,442,40.0
443,444,284.0
445,446,541.5
447,448,147.0
449,450,336.5
451,452,449.5
453,454,142.0
455,456,40.0
457,458,258.0
459,460,430.5
461,462,422.0
463,464,518.5
465,466,1226.0
467,468,174.0
469,470,40.0
471,472,501.5
473,474,130.0
475,476,237.5
477,478,308.5
479,480,518.0
481,482,0.0
483,484,154.0
485,486,243.5
487,488,363.0
