episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,0.0
19,20,0.0
21,22,0.0
23,24,0.0
25,26,0.0
27,28,0.0
29,30,0.0
31,32,0.0
33,34,0.0
35,36,0.0
37,38,100.0
39,40,0.0
41,42,100.0
43,44,0.0
45,46,0.0
47,48,0.0
49,50,0.0
51,52,200.0
53,54,0.0
55,56,100.0
57,58,0.0
59,60,100.0
61,62,100.0
63,64,100.0
65,66,100.0
67,68,100.0
69,70,140.0
71,72,80.0
73,74,140.0
75,76,100.0
77,78,75.0
79,80,75.0
81,82,80.0
83,84,75.0
85,86,70.0
87,88,80.0
89,90,80.0
91,92,70.0
93,94,75.0
95,96,70.0
97,98,70.0
99,100,80.0
101,102,70.0
103,104,70.0
105,106,70.0
107,108,70.0
109,110,75.0
111,112,70.0
113,114,75.0
115,116,70.0
117,118,80.0
119,120,75.0
121,122,75.0
123,124,65.0
125,126,75.0
127,128,70.0
129,130,75.0
131,132,80.0
133,134,140.0
135,136,140.0
137,138,80.0
139,140,140.0
141,142,35.0
143,144,80.0
145,146,80.0
147,148,140.0
149,150,100.0
151,152,40.0
153,154,200.0
155,156,80.0
157,158,140.0
159,160,100.0
161,162,40.0
163,164,200.0
165,166,80.0
167,168,140.0
169,170,40.0
171,172,200.0
173,174,200.0
175,176,140.0
177,178,200.0
179,180,200.0
181,182,100.0
183,184,200.0
185,186,200.0
187,188,140.0
189,190,200.0
191,192,200.0
193,194,200.0
195,196,200.0
197,198,200.0
199,200,200.0
201,202,200.0
203,204,200.0
205,206,200.0
207,208,100.0
209,210,100.0
211,212,200.0
213,214,200.0
215,216,100.0
217,218,200.0
219,220,100.0
221,222,200.0
223,224,200.0
225,226,200.0
227,228,140.0
229,230,200.0
231,232,140.0
233,234,200.0
235,236,140.0
237,238,200.0
239,240,200.0
241,242,100.0
243,244,140.0
245,246,140.0
247,248,200.0
