episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,164.0
11,12,0.0
13,14,137.0
15,16,0.0
17,18,173.5
19,20,40.5
21,22,228.0
23,24,167.5
25,26,110.5
27,28,162.0
29,30,162.0
31,32,392.5
33,34,190.0
35,36,348.5
37,38,335.5
39,40,256.5
41,42,207.5
43,44,351.5
45,46,527.0
47,48,351.5
49,50,345.5
51,52,438.5
53,54,215.5
55,56,184.5
57,58,278.5
59,60,359.0
61,62,382.5
63,64,424.0
65,66,218.5
67,68,399.0
69,70,398.0
71,72,332.0
73,74,165.5
75,76,179.0
77,78,75.0
79,80,259.5
81,82,393.5
83,84,437.0
85,86,409.0
87,88,499.0
89,90,180.5
91,92,348.0
93,94,213.0
95,96,77.5
97,98,7.0
99,100,6.5
101,102,72.0
103,104,274.5
105,106,7.0
107,108,185.0
109,110,364.0
111,112,332.5
113,114,368.5
115,116,7.0
117,118,63.5
119,120,46.5
121,122,319.5
123,124,331.5
125,126,218.0
127,128,166.5
129,130,373.5
131,132,426.5
133,134,346.5
135,136,253.0
137,138,172.0
139,140,325.0
141,142,7.5
143,144,219.5
145,146,7.5
147,148,92.0
149,150,7.5
151,152,7.5
153,154,7.0
155,156,7.5
157,158,7.0
159,160,47.0
161,162,54.5
163,164,193.0
165,166,214.5
167,168,76.0
169,170,273.5
171,172,373.0
173,174,410.5
175,176,399.5
