episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,0.0
19,20,0.0
21,22,0.0
23,24,0.0
25,26,0.0
27,28,0.0
29,30,0.0
31,32,0.0
33,34,189.5
35,36,79.5
37,38,286.0
39,40,307.5
41,42,218.5
43,44,8.5
45,46,159.5
47,48,179.0
49,50,187.0
51,52,163.5
53,54,57.0
55,56,181.5
57,58,78.0
59,60,207.5
61,62,403.0
63,64,331.5
65,66,329.5
67,68,166.0
69,70,425.0
71,72,691.5
73,74,168.0
75,76,238.5
77,78,199.0
79,80,85.0
81,82,228.0
83,84,48.5
85,86,114.5
87,88,4.0
89,90,166.0
91,92,317.0
93,94,110.0
95,96,477.0
97,98,124.0
99,100,42.0
101,102,174.0
103,104,66.0
105,106,42.0
107,108,117.5
109,110,130.0
111,112,184.0
113,114,42.5
115,116,129.5
117,118,333.0
119,120,99.5
121,122,105.5
123,124,82.5
125,126,136.0
127,128,188.5
129,130,260.0
131,132,371.0
133,134,331.0
135,136,79.5
137,138,332.5
139,140,247.5
141,142,191.5
143,144,50.0
145,146,0.0
147,148,604.5
149,150,0.0
151,152,0.0
153,154,299.0
155,156,0.0
157,158,0.0
159,160,228.5
161,162,533.0
163,164,205.5
165,166,3.5
167,168,188.0
169,170,34.5
171,172,207.0
173,174,145.5
175,176,232.5
177,178,51.0
179,180,204.0
181,182,75.0
183,184,194.5
185,186,8.0
187,188,61.0
189,190,211.0
191,192,258.0
193,194,349.5
195,196,220.0
197,198,157.5
199,200,152.0
201,202,66.0
203,204,197.0
205,206,289.0
207,208,70.0
209,210,167.0
211,212,363.0
213,214,196.0
215,216,76.0
217,218,240.5
219,220,4.0
221,222,114.5
223,224,184.5
225,226,314.5
227,228,101.5
229,230,103.5
231,232,334.0
233,234,469.0
235,236,310.0
237,238,101.0
239,240,146.0
241,242,44.5
243,244,0.0
245,246,0.0
247,248,0.0
249,250,3.5
251,252,0.0
253,254,80.5
255,256,0.0
257,258,0.0
259,260,257.0
261,262,3.5
263,264,138.0
265,266,273.0
267,268,348.5
269,270,110.0
271,272,93.5
273,274,236.0
275,276,223.5
277,278,99.0
279,280,195.5
281,282,286.0
283,284,117.5
285,286,35.5
287,288,125.0
289,290,142.0
291,292,57.0
293,294,161.0
295,296,97.5
297,298,209.5
299,300,341.0
301,302,178.0
303,304,39.5
305,306,88.5
307,308,100.0
309,310,7.5
311,312,144.0
313,314,196.0
315,316,4.0
317,318,4.0
319,320,69.5
321,322,4.0
323,324,124.0
325,326,173.0
327,328,357.5
329,330,102.0
331,332,194.5
333,334,258.5
335,336,119.0
337,338,224.5
339,340,8.5
341,342,126.5
343,344,152.5
345,346,319.0
347,348,62.0
349,350,273.5
351,352,169.0
353,354,124.5
355,356,79.5
357,358,288.0
359,360,200.0
361,362,204.5
363,364,53.0
365,366,31.0
367,368,7.0
369,370,424.5
371,372,55.0
373,374,61.5
375,376,206.5
377,378,134.5
379,380,8.0
381,382,210.5
383,384,34.5
385,386,40.0
387,388,48.0
389,390,7.0
391,392,71.0
393,394,224.5
395,396,119.0
397,398,74.0
399,400,8.0
401,402,341.5
403,404,8.5
405,406,102.0
407,408,282.5
409,410,91.0
411,412,91.0
413,414,148.0
415,416,196.0
417,418,151.5
419,420,71.0
421,422,183.0
423,424,85.0
425,426,107.5
427,428,263.5
429,430,181.5
431,432,368.0
433,434,208.0
435,436,59.5
437,438,7.5
439,440,140.0
441,442,3.5
443,444,7.5
445,446,29.5
447,448,6.5
449,450,56.5
451,452,69.0
453,454,8.5
455,456,63.5
457,458,7.5
459,460,8.0
461,462,49.0
463,464,8.0
465,466,108.5
467,468,98.0
469,470,4.0
471,472,7.5
473,474,8.0
475,476,70.5
477,478,73.5
479,480,8.0
481,482,90.0
483,484,177.5
485,486,275.5
487,488,123.5
489,490,89.5
491,492,7.5
493,494,7.0
495,496,334.5
497,498,120.5
499,500,7.5
501,502,3.5
503,504,272.0
505,506,235.0
507,508,300.0
509,510,54.0
511,512,209.5
513,514,221.0
515,516,4.0
517,518,7.5
519,520,29.5
521,522,3.5
523,524,59.0
525,526,0.0
527,528,4.0
529,530,0.0
531,532,4.0
533,534,0.0
535,536,3.5
537,538,66.0
539,540,0.0
541,542,0.0
543,544,0.0
545,546,0.0
547,548,0.0
549,550,0.0
551,552,8.0
553,554,0.0
555,556,3.5
557,558,0.0
559,560,0.0
561,562,4.0
563,564,0.0
565,566,4.0
567,568,3.5
569,570,4.0
571,572,68.0
573,574,7.5
575,576,6.5
577,578,7.5
579,580,7.5
581,582,3.5
583,584,7.0
585,586,4.0
587,588,6.5
589,590,56.5
591,592,8.0
593,594,8.0
595,596,48.0
597,598,314.5
599,600,7.5
601,602,34.5
603,604,8.0
605,606,219.5
607,608,8.0
609,610,68.0
611,612,226.0
613,614,172.5
615,616,93.5
617,618,159.0
619,620,120.5
621,622,168.5
623,624,145.0
625,626,7.5
627,628,65.0
629,630,8.0
631,632,107.0
633,634,260.5
635,636,7.5
637,638,265.0
639,640,253.0
641,642,6.5
643,644,45.5
645,646,156.0
647,648,64.0
649,650,92.0
651,652,118.5
653,654,72.0
655,656,51.0
657,658,7.0
659,660,29.0
661,662,137.5
663,664,46.5
665,666,7.0
667,668,107.0
669,670,78.0
671,672,114.0
673,674,133.0
675,676,7.5
677,678,5.5
679,680,6.5
681,682,7.5
683,684,3.0
685,686,47.0
687,688,7.0
689,690,6.5
691,692,99.5
693,694,7.0
695,696,3.5
697,698,8.0
699,700,6.0
701,702,7.5
703,704,4.0
705,706,6.5
707,708,6.5
709,710,38.5
