episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,0.0
19,20,0.0
21,22,237.0
23,24,0.0
25,26,103.5
27,28,411.0
29,30,0.0
31,32,0.0
33,34,277.5
35,36,483.0
37,38,572.0
39,40,512.5
41,42,779.5
43,44,645.5
45,46,592.5
47,48,322.0
49,50,301.5
51,52,528.0
53,54,618.5
55,56,0.0
57,58,0.0
59,60,230.5
61,62,662.5
63,64,592.0
65,66,563.5
67,68,45.0
69,70,45.0
71,72,85.0
73,74,432.0
75,76,40.0
77,78,85.0
79,80,186.5
81,82,45.0
83,84,279.5
85,86,141.0
87,88,85.0
89,90,247.5
91,92,85.0
93,94,85.0
95,96,80.0
97,98,85.0
99,100,205.5
101,102,155.0
103,104,90.0
105,106,140.5
107,108,196.5
109,110,273.0
111,112,259.5
113,114,183.5
115,116,85.0
117,118,163.5
119,120,177.0
121,122,85.0
123,124,224.0
125,126,291.5
127,128,155.0
129,130,189.0
131,132,216.0
133,134,85.0
135,136,85.0
137,138,85.0
139,140,146.0
141,142,80.0
143,144,85.0
145,146,85.0
147,148,80.0
149,150,85.0
151,152,85.0
153,154,142.0
155,156,90.0
157,158,251.0
159,160,222.0
161,162,85.0
