episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,0.0
19,20,45.0
21,22,0.0
23,24,150.0
25,26,0.0
27,28,0.0
29,30,100.0
31,32,0.0
33,34,0.0
35,36,150.0
37,38,200.0
39,40,90.0
41,42,145.0
43,44,145.0
45,46,145.0
47,48,90.0
49,50,90.0
51,52,100.0
53,54,145.0
55,56,100.0
57,58,150.0
59,60,145.0
61,62,200.0
63,64,0.0
65,66,40.0
67,68,150.0
69,70,100.0
71,72,145.0
73,74,0.0
75,76,100.0
77,78,100.0
79,80,100.0
81,82,150.0
83,84,90.0
85,86,40.0
87,88,45.0
89,90,145.0
91,92,200.0
93,94,140.0
95,96,45.0
