episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,329.5
13,14,0.0
15,16,0.0
17,18,235.0
19,20,196.0
21,22,458.0
23,24,122.5
25,26,244.5
27,28,227.5
29,30,541.0
31,32,542.5
33,34,555.5
35,36,644.5
37,38,695.5
39,40,717.5
41,42,565.5
43,44,107.0
45,46,658.5
47,48,217.0
49,50,311.5
51,52,468.5
53,54,355.0
55,56,362.0
57,58,211.0
59,60,535.0
61,62,686.5
63,64,784.0
65,66,348.0
67,68,613.0
69,70,324.0
71,72,334.0
73,74,736.5
75,76,351.0
77,78,455.0
79,80,302.0
81,82,559.0
83,84,392.5
85,86,441.0
87,88,532.0
89,90,120.0
91,92,401.0
93,94,345.0
95,96,785.0
97,98,134.5
99,100,110.0
101,102,0.0
