episode,timestep,reward
1,2,0.0
3,4,128.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,323.5
13,14,322.0
15,16,347.5
17,18,359.0
19,20,328.5
21,22,321.5
23,24,344.5
25,26,348.5
27,28,326.5
29,30,320.5
31,32,332.5
33,34,341.5
35,36,340.0
37,38,348.0
39,40,343.0
41,42,334.0
43,44,170.0
45,46,342.5
47,48,346.5
49,50,353.0
51,52,336.5
53,54,337.0
55,56,338.5
57,58,322.5
59,60,347.5
61,62,178.0
63,64,356.5
65,66,399.5
67,68,353.0
69,70,492.5
71,72,514.0
73,74,542.5
75,76,567.0
77,78,560.0
79,80,0.0
81,82,637.5
83,84,328.5
85,86,343.5
87,88,360.5
89,90,342.5
91,92,734.0
93,94,0.0
95,96,346.5
97,98,668.0
99,100,304.0
101,102,323.0
103,104,688.0
105,106,707.5
107,108,0.0
109,110,678.5
111,112,341.5
113,114,335.0
115,116,325.5
117,118,713.5
119,120,366.0
121,122,687.0
123,124,696.0
125,126,735.5
127,128,348.0
129,130,348.5
131,132,636.0
133,134,328.0
135,136,709.0
137,138,177.0
139,140,175.5
141,142,159.5
