episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,0.0
19,20,0.0
21,22,0.0
23,24,0.0
25,26,0.0
27,28,0.0
29,30,0.0
31,32,0.0
33,34,0.0
35,36,0.0
37,38,0.0
39,40,0.0
41,42,0.0
43,44,0.0
45,46,0.0
47,48,0.0
49,50,0.0
51,52,0.0
53,54,0.0
55,56,0.0
57,58,0.0
59,60,0.0
61,62,0.0
63,64,0.0
65,66,0.0
67,68,0.0
69,70,0.0
71,72,0.0
73,74,0.0
75,76,0.0
77,78,0.0
79,80,0.0
81,82,0.0
83,84,0.0
85,86,0.0
87,88,0.0
89,90,0.0
91,92,0.0
93,94,0.0
95,96,0.0
97,98,0.0
99,100,0.0
101,102,360.0
103,104,0.0
105,106,0.0
107,108,0.0
109,110,0.0
111,112,0.0
113,114,0.0
115,116,0.0
117,118,0.0
119,120,0.0
121,122,0.0
123,124,0.0
125,126,0.0
127,128,0.0
129,130,505.0
131,132,318.5
133,134,423.5
135,136,0.0
137,138,304.5
139,140,0.0
141,142,0.0
143,144,304.5
145,146,35.0
147,148,281.5
149,150,168.5
151,152,513.5
153,154,283.0
155,156,80.0
157,158,354.0
159,160,430.0
161,162,75.0
163,164,284.5
165,166,483.5
167,168,495.0
169,170,614.0
171,172,366.5
173,174,551.0
175,176,594.0
177,178,209.5
179,180,601.5
181,182,349.5
183,184,356.5
185,186,256.0
187,188,269.5
189,190,445.5
191,192,109.0
193,194,700.0
195,196,564.5
197,198,349.0
199,200,384.5
201,202,0.0
203,204,407.5
205,206,218.0
207,208,287.0
209,210,228.0
211,212,316.0
213,214,0.0
215,216,124.0
217,218,109.0
219,220,0.0
221,222,132.0
223,224,0.0
225,226,417.5
227,228,100.5
229,230,517.5
231,232,336.5
233,234,0.0
235,236,156.0
237,238,537.5
239,240,120.5
241,242,277.5
243,244,423.5
245,246,112.0
247,248,381.5
249,250,80.0
251,252,273.0
253,254,117.5
255,256,304.5
257,258,224.0
259,260,249.0
261,262,154.5
263,264,228.0
265,266,231.0
267,268,156.0
269,270,259.5
271,272,80.0
273,274,725.0
275,276,435.0
277,278,80.0
279,280,600.0
281,282,284.0
283,284,218.0
285,286,460.5
287,288,101.0
289,290,241.5
291,292,35.0
293,294,0.0
295,296,0.0
297,298,123.0
299,300,0.0
301,302,0.0
303,304,392.5
305,306,283.0
307,308,545.5
309,310,380.5
311,312,35.0
313,314,690.0
315,316,132.0
317,318,40.0
319,320,129.0
321,322,0.0
323,324,205.0
325,326,376.0
327,328,0.0
329,330,0.0
331,332,137.5
333,334,0.0
335,336,360.5
337,338,403.5
339,340,506.0
341,342,384.5
343,344,425.5
345,346,356.5
347,348,0.0
349,350,277.0
351,352,424.0
353,354,328.5
355,356,314.0
357,358,182.0
359,360,284.5
361,362,308.5
363,364,174.5
365,366,178.5
367,368,486.0
369,370,348.0
371,372,169.0
373,374,369.0
375,376,214.0
377,378,80.0
379,380,400.5
381,382,276.5
383,384,233.0
385,386,356.0
387,388,240.0
389,390,80.0
391,392,208.5
393,394,143.5
395,396,70.0
397,398,145.5
399,400,351.0
401,402,487.0
403,404,70.0
405,406,141.0
407,408,192.0
409,410,70.0
411,412,211.5
413,414,231.0
415,416,196.5
417,418,214.5
419,420,142.0
421,422,274.0
423,424,412.0
425,426,238.5
427,428,70.0
429,430,80.0
431,432,244.5
433,434,241.5
435,436,428.0
437,438,314.0
439,440,294.5
441,442,243.5
443,444,282.5
445,446,243.5
447,448,162.0
449,450,332.5
451,452,376.0
453,454,374.5
455,456,384.0
457,458,150.0
459,460,257.5
461,462,257.5
463,464,193.0
465,466,385.5
467,468,80.0
469,470,125.0
471,472,225.0
473,474,235.5
475,476,40.0
477,478,100.5
479,480,0.0
481,482,358.0
483,484,80.0
485,486,204.5
487,488,205.0
489,490,519.0
491,492,202.5
493,494,40.0
495,496,114.0
497,498,185.5
