episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,96.5
13,14,97.5
15,16,89.0
17,18,157.0
19,20,232.5
21,22,206.5
23,24,222.5
25,26,226.5
27,28,227.0
29,30,224.0
31,32,216.0
33,34,192.5
35,36,234.5
37,38,154.5
39,40,98.5
41,42,222.0
43,44,224.5
45,46,145.5
47,48,227.0
49,50,156.5
51,52,199.5
53,54,237.0
55,56,232.5
57,58,212.5
59,60,209.0
61,62,225.0
63,64,182.5
65,66,202.0
67,68,206.5
69,70,206.5
71,72,210.0
73,74,154.5
75,76,223.5
77,78,177.0
79,80,94.5
81,82,221.0
83,84,149.5
85,86,182.5
87,88,158.0
89,90,227.0
91,92,215.5
93,94,213.0
95,96,201.0
97,98,222.5
99,100,204.5
101,102,203.5
103,104,232.5
105,106,216.5
107,108,195.0
109,110,213.5
111,112,219.0
113,114,238.0
115,116,210.5
117,118,215.0
119,120,216.5
121,122,182.0
123,124,238.0
125,126,202.5
127,128,182.5
129,130,235.5
131,132,220.0
133,134,218.0
135,136,227.5
137,138,203.0
139,140,207.0
141,142,162.5
143,144,205.5
145,146,188.0
147,148,194.0
149,150,245.0
151,152,231.0
153,154,219.0
155,156,230.0
157,158,216.5
159,160,155.5
161,162,227.5
163,164,216.5
165,166,243.5
167,168,240.0
169,170,233.5
171,172,243.0
173,174,231.5
175,176,228.0
177,178,219.5
179,180,226.5
181,182,199.0
183,184,224.5
185,186,227.5
187,188,182.5
189,190,226.5
191,192,224.0
193,194,224.5
195,196,192.5
197,198,222.5
199,200,131.5
201,202,213.0
203,204,232.0
205,206,220.0
207,208,234.0
209,210,238.0
211,212,212.5
213,214,170.5
215,216,242.0
217,218,219.0
219,220,230.0
221,222,201.0
223,224,240.0
225,226,208.0
227,228,236.0
229,230,221.5
231,232,232.5
233,234,169.0
235,236,228.5
237,238,152.0
239,240,228.5
