episode,timestep,reward
1,2,0.0
3,4,339.0
5,6,124.0
7,8,0.0
9,10,243.5
11,12,0.0
13,14,222.5
15,16,260.0
17,18,269.5
19,20,332.0
21,22,25.0
23,24,367.0
25,26,0.0
27,28,75.0
29,30,220.0
31,32,419.5
33,34,243.5
35,36,293.0
37,38,232.5
39,40,186.5
41,42,283.0
43,44,338.0
45,46,242.0
47,48,254.0
49,50,0.0
51,52,301.0
53,54,75.0
55,56,262.0
57,58,256.0
59,60,158.5
61,62,487.0
63,64,299.5
65,66,246.0
67,68,127.0
69,70,290.0
71,72,35.0
73,74,132.5
75,76,55.0
77,78,287.0
79,80,0.0
81,82,0.0
83,84,503.0
85,86,305.0
87,88,30.0
89,90,0.0
91,92,30.0
93,94,452.0
95,96,264.0
97,98,434.5
99,100,0.0
101,102,20.0
103,104,599.0
105,106,207.5
107,108,503.5
109,110,436.0
111,112,632.5
113,114,229.5
115,116,607.0
117,118,473.0
119,120,273.0
121,122,507.0
123,124,255.5
125,126,312.0
127,128,258.0
129,130,252.5
131,132,419.0
133,134,325.0
135,136,218.0
137,138,378.5
139,140,259.5
141,142,673.0
143,144,0.0
145,146,450.5
147,148,203.5
149,150,459.0
151,152,272.5
153,154,399.5
155,156,120.0
157,158,202.0
159,160,404.0
161,162,484.0
163,164,228.0
165,166,231.0
167,168,0.0
169,170,116.5
171,172,247.5
173,174,424.0
175,176,454.0
177,178,320.0
179,180,534.5
181,182,35.0
183,184,231.5
185,186,245.5
187,188,348.0
189,190,586.5
191,192,459.0
193,194,349.5
195,196,294.5
197,198,215.5
199,200,453.0
201,202,256.5
203,204,105.5
205,206,396.0
207,208,224.5
209,210,224.5
211,212,603.5
213,214,269.0
215,216,157.5
217,218,156.5
219,220,463.5
221,222,241.0
223,224,215.5
225,226,421.0
227,228,218.0
229,230,452.5
231,232,532.5
233,234,0.0
235,236,357.5
237,238,391.5
239,240,379.5
241,242,55.0
243,244,354.0
245,246,422.0
247,248,185.0
249,250,647.5
251,252,505.5
253,254,202.0
255,256,15.0
257,258,20.0
259,260,261.5
261,262,385.0
263,264,15.0
265,266,30.0
267,268,274.0
269,270,281.0
271,272,230.5
273,274,284.0
275,276,479.5
277,278,618.5
279,280,240.0
281,282,238.5
283,284,233.0
285,286,0.0
287,288,341.0
289,290,126.0
291,292,412.5
293,294,480.5
295,296,298.0
297,298,35.0
299,300,154.5
301,302,283.0
303,304,256.5
305,306,560.0
307,308,151.5
309,310,596.5
311,312,291.5
313,314,505.0
315,316,248.5
317,318,139.5
319,320,448.5
321,322,456.5
323,324,25.0
325,326,302.0
327,328,230.5
329,330,200.0
331,332,280.0
333,334,507.5
335,336,187.5
337,338,505.0
339,340,298.5
341,342,254.0
343,344,457.0
345,346,135.0
347,348,475.5
349,350,462.0
351,352,467.5
353,354,373.5
355,356,255.5
357,358,439.5
359,360,0.0
361,362,203.0
363,364,344.0
365,366,211.5
367,368,289.5
369,370,381.5
371,372,332.0
373,374,172.0
375,376,0.0
377,378,401.5
379,380,15.0
381,382,253.0
383,384,131.5
385,386,30.0
387,388,372.5
389,390,25.0
391,392,25.0
393,394,262.5
395,396,354.5
397,398,433.0
399,400,426.5
401,402,500.0
403,404,508.0
405,406,166.0
407,408,323.5
409,410,268.0
411,412,400.5
413,414,490.0
415,416,194.5
417,418,353.5
419,420,280.0
421,422,388.5
423,424,505.0
425,426,398.0
427,428,488.0
429,430,25.0
431,432,500.0
433,434,336.5
435,436,228.0
437,438,321.5
439,440,281.5
441,442,180.5
443,444,220.0
445,446,282.0
447,448,0.0
449,450,313.5
451,452,352.5
453,454,356.0
455,456,233.0
457,458,244.5
459,460,196.5
461,462,15.0
463,464,311.0
465,466,402.5
467,468,273.5
469,470,457.5
471,472,430.5
473,474,15.0
475,476,151.5
477,478,230.0
479,480,151.0
481,482,520.5
483,484,232.0
485,486,0.0
487,488,218.5
489,490,131.0
491,492,232.5
493,494,247.0
495,496,399.0
497,498,138.0
499,500,191.5
501,502,117.5
503,504,25.0
505,506,311.0
507,508,274.0
509,510,416.5
511,512,191.5
513,514,20.0
515,516,102.5
517,518,180.0
519,520,337.5
521,522,173.0
523,524,30.0
525,526,144.0
527,528,100.5
529,530,223.0
531,532,398.0
533,534,235.0
535,536,222.5
537,538,142.0
539,540,317.5
541,542,244.0
543,544,15.0
545,546,602.5
547,548,391.5
549,550,410.5
551,552,313.5
553,554,261.5
555,556,381.5
557,558,35.0
559,560,267.0
561,562,138.0
563,564,358.0
565,566,296.0
567,568,0.0
569,570,217.0
571,572,15.0
573,574,194.0
575,576,224.5
577,578,380.0
579,580,396.0
581,582,347.5
583,584,369.0
585,586,413.0
587,588,329.5
589,590,161.5
591,592,0.0
593,594,230.5
595,596,369.5
597,598,292.5
599,600,145.5
601,602,166.0
603,604,321.0
605,606,341.0
607,608,274.5
609,610,376.5
611,612,105.5
613,614,203.0
615,616,411.0
617,618,496.0
619,620,446.0
621,622,237.5
623,624,246.5
625,626,242.0
627,628,35.0
629,630,171.0
631,632,189.5
633,634,383.0
635,636,353.5
637,638,0.0
639,640,172.0
641,642,151.5
643,644,45.0
645,646,180.0
647,648,663.5
649,650,193.5
651,652,224.0
653,654,0.0
655,656,246.5
657,658,389.0
659,660,331.5
661,662,215.5
663,664,212.0
665,666,118.0
667,668,457.5
669,670,40.0
671,672,404.5
673,674,25.0
675,676,270.0
677,678,224.0
679,680,190.0
681,682,375.5
683,684,25.0
685,686,25.0
687,688,386.5
689,690,231.0
691,692,187.5
693,694,104.0
695,696,461.5
697,698,501.0
699,700,213.5
701,702,166.5
703,704,574.0
705,706,249.5
707,708,209.5
709,710,116.5
711,712,40.0
713,714,0.0
715,716,240.5
717,718,427.5
719,720,229.5
721,722,167.5
723,724,424.0
725,726,195.5
727,728,213.5
729,730,255.0
731,732,217.5
733,734,326.5
735,736,40.0
737,738,35.0
739,740,303.0
741,742,405.5
743,744,40.0
745,746,231.5
747,748,549.0
749,750,475.0
751,752,179.0
753,754,313.5
755,756,446.5
757,758,352.5
759,760,250.0
761,762,335.5
763,764,514.0
765,766,237.0
767,768,297.5
769,770,478.5
771,772,332.5
773,774,456.5
775,776,313.0
777,778,443.0
779,780,402.5
781,782,560.0
783,784,283.0
785,786,295.5
787,788,445.0
789,790,387.0
791,792,204.5
793,794,177.5
795,796,102.5
797,798,398.0
799,800,153.5
801,802,173.0
803,804,145.0
805,806,245.0
807,808,203.0
809,810,315.0
811,812,128.0
813,814,500.5
815,816,209.5
817,818,261.5
819,820,539.5
821,822,125.5
823,824,266.0
825,826,0.0
827,828,227.5
829,830,40.0
831,832,174.0
833,834,527.0
835,836,189.5
837,838,454.0
839,840,40.0
841,842,308.5
843,844,479.5
845,846,246.5
847,848,40.0
849,850,202.0
851,852,102.0
853,854,284.0
855,856,212.5
857,858,25.0
859,860,372.0
861,862,80.0
863,864,20.0
865,866,226.0
867,868,241.0
869,870,0.0
871,872,259.0
873,874,40.0
875,876,147.0
877,878,25.0
879,880,473.0
881,882,25.0
883,884,55.0
885,886,459.5
887,888,308.0
889,890,40.0
891,892,643.0
893,894,40.0
895,896,35.0
897,898,80.0
899,900,312.0
901,902,251.0
903,904,565.0
905,906,231.0
907,908,40.0
909,910,102.5
911,912,156.5
913,914,137.5
915,916,35.0
917,918,80.0
919,920,101.0
921,922,447.5
923,924,128.0
925,926,380.0
927,928,155.0
929,930,40.0
931,932,222.0
933,934,20.0
935,936,138.0
937,938,298.0
939,940,121.0
941,942,30.0
943,944,337.0
945,946,285.5
947,948,382.0
949,950,170.5
951,952,231.0
953,954,0.0
955,956,40.0
957,958,205.0
959,960,40.0
961,962,0.0
963,964,215.0
965,966,348.5
967,968,191.5
969,970,324.0
971,972,237.5
973,974,227.5
975,976,346.0
977,978,236.5
979,980,134.0
981,982,188.5
983,984,155.0
985,986,251.0
987,988,100.5
989,990,356.5
991,992,287.5
993,994,347.5
995,996,219.0
997,998,111.5
999,1000,20.0
1001,1002,398.5
1003,1004,189.0
1005,1006,406.0
1007,1008,342.0
1009,1010,331.5
1011,1012,284.5
1013,1014,547.0
1015,1016,654.0
1017,1018,516.0
1019,1020,227.5
1021,1022,294.5
1023,1024,357.0
1025,1026,311.5
1027,1028,402.5
1029,1030,377.0
1031,1032,185.0
1033,1034,140.5
1035,1036,186.0
1037,1038,168.0
1039,1040,232.0
1041,1042,276.5
1043,1044,80.0
1045,1046,360.0
1047,1048,40.0
1049,1050,295.5
1051,1052,394.0
1053,1054,202.5
1055,1056,301.0
1057,1058,264.0
1059,1060,582.5
1061,1062,248.5
1063,1064,322.5
1065,1066,519.0
1067,1068,351.5
1069,1070,215.0
1071,1072,163.5
1073,1074,494.0
1075,1076,40.0
1077,1078,182.5
1079,1080,590.0
1081,1082,495.5
1083,1084,160.0
1085,1086,80.0
1087,1088,464.5
1089,1090,80.0
1091,1092,188.5
1093,1094,302.5
1095,1096,156.5
1097,1098,255.0
1099,1100,163.0
1101,1102,0.0
1103,1104,145.5
1105,1106,35.0
1107,1108,156.0
1109,1110,143.0
1111,1112,202.0
1113,1114,40.0
1115,1116,129.0
1117,1118,60.0
1119,1120,228.5
1121,1122,120.5
1123,1124,15.0
1125,1126,30.0
1127,1128,80.0
1129,1130,20.0
1131,1132,312.5
1133,1134,236.0
1135,1136,40.0
1137,1138,328.0
1139,1140,177.0
1141,1142,194.0
1143,1144,330.5
1145,1146,467.0
1147,1148,40.0
1149,1150,0.0
1151,1152,257.5
1153,1154,128.5
1155,1156,253.5
1157,1158,202.5
1159,1160,163.5
1161,1162,293.0
1163,1164,396.0
1165,1166,217.5
1167,1168,0.0
1169,1170,404.5
1171,1172,242.5
1173,1174,189.5
1175,1176,171.5
1177,1178,441.5
1179,1180,373.0
