episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,40.0
19,20,140.0
21,22,145.0
23,24,90.0
25,26,90.0
27,28,85.0
29,30,145.0
31,32,145.0
33,34,85.0
35,36,200.0
37,38,145.0
39,40,85.0
41,42,145.0
43,44,95.0
45,46,140.0
47,48,85.0
49,50,40.0
51,52,90.0
53,54,0.0
55,56,45.0
57,58,200.0
59,60,145.0
61,62,200.0
63,64,200.0
65,66,0.0
67,68,0.0
69,70,100.0
71,72,0.0
73,74,0.0
75,76,100.0
77,78,100.0
79,80,200.0
81,82,145.0
83,84,100.0
85,86,100.0
87,88,0.0
89,90,0.0
91,92,0.0
93,94,200.0
95,96,0.0
97,98,0.0
99,100,200.0
101,102,0.0
103,104,100.0
105,106,0.0
107,108,0.0
109,110,100.0
111,112,0.0
113,114,100.0
115,116,200.0
117,118,100.0
119,120,200.0
121,122,200.0
123,124,200.0
125,126,145.0
127,128,200.0
129,130,100.0
131,132,145.0
133,134,200.0
135,136,200.0
137,138,200.0
139,140,145.0
141,142,200.0
143,144,200.0
145,146,200.0
147,148,200.0
149,150,200.0
151,152,200.0
153,154,200.0
155,156,200.0
157,158,145.0
159,160,200.0
161,162,100.0
163,164,200.0
165,166,100.0
167,168,100.0
169,170,100.0
171,172,100.0
173,174,200.0
175,176,100.0
177,178,145.0
179,180,200.0
181,182,200.0
183,184,100.0
185,186,200.0
187,188,100.0
189,190,100.0
191,192,0.0
193,194,145.0
195,196,200.0
197,198,200.0
199,200,200.0
201,202,145.0
203,204,200.0
205,206,150.0
207,208,200.0
209,210,200.0
211,212,200.0
213,214,200.0
215,216,200.0
217,218,200.0
219,220,200.0
221,222,200.0
223,224,200.0
225,226,200.0
227,228,145.0
229,230,200.0
231,232,200.0
233,234,200.0
235,236,150.0
237,238,145.0
239,240,200.0
241,242,145.0
243,244,100.0
245,246,200.0
247,248,200.0
249,250,200.0
251,252,145.0
253,254,200.0
255,256,45.0
257,258,100.0
259,260,200.0
261,262,200.0
263,264,145.0
265,266,200.0
