episode,timestep,reward
1,2,241.0
3,4,232.5
5,6,255.0
7,8,469.5
9,10,440.0
11,12,282.0
13,14,237.0
15,16,30.0
17,18,258.0
19,20,103.5
21,22,498.0
23,24,312.5
25,26,213.0
27,28,518.0
29,30,266.0
31,32,590.0
33,34,281.0
35,36,334.0
37,38,253.0
39,40,0.0
41,42,503.5
43,44,284.0
45,46,268.5
47,48,353.5
49,50,0.0
51,52,486.5
53,54,30.0
55,56,348.0
57,58,236.5
59,60,410.5
61,62,246.5
63,64,269.0
65,66,232.0
67,68,0.0
69,70,244.0
71,72,518.0
73,74,540.0
75,76,15.0
77,78,158.5
79,80,246.0
81,82,349.0
83,84,272.5
85,86,35.0
87,88,269.0
89,90,0.0
91,92,141.0
93,94,15.0
95,96,35.0
97,98,228.0
99,100,420.5
101,102,243.0
103,104,0.0
105,106,233.0
107,108,414.5
109,110,259.5
111,112,568.5
113,114,259.5
115,116,15.0
117,118,281.0
119,120,240.5
121,122,449.5
123,124,277.0
125,126,230.0
127,128,0.0
129,130,329.0
131,132,256.0
133,134,259.0
135,136,473.5
137,138,30.0
139,140,229.5
141,142,0.0
143,144,477.0
145,146,35.0
147,148,0.0
149,150,381.5
151,152,155.5
153,154,0.0
155,156,434.5
157,158,235.5
159,160,0.0
161,162,253.5
163,164,276.0
165,166,234.5
167,168,255.0
169,170,274.0
171,172,0.0
173,174,485.0
175,176,244.0
177,178,502.0
179,180,0.0
181,182,552.5
