episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,173.0
19,20,151.5
21,22,177.0
23,24,326.0
25,26,344.0
27,28,359.5
29,30,342.5
31,32,347.5
33,34,351.5
35,36,411.5
37,38,420.5
39,40,425.0
41,42,321.5
43,44,392.0
45,46,449.5
47,48,313.5
49,50,337.5
51,52,248.5
53,54,181.0
55,56,373.0
57,58,242.5
59,60,286.0
61,62,370.0
63,64,288.0
65,66,281.0
67,68,377.0
69,70,411.0
71,72,327.0
73,74,413.5
75,76,637.5
77,78,625.0
79,80,495.0
81,82,421.5
83,84,209.0
85,86,191.0
87,88,413.0
89,90,538.0
91,92,347.5
93,94,503.5
95,96,195.5
97,98,197.0
99,100,338.0
101,102,300.0
103,104,429.0
105,106,279.0
107,108,493.0
109,110,532.0
111,112,460.0
113,114,540.0
115,116,106.0
117,118,346.5
119,120,614.0
121,122,290.5
123,124,92.0
125,126,380.0
127,128,310.5
129,130,372.5
131,132,479.5
133,134,506.0
135,136,242.0
137,138,298.0
139,140,331.5
141,142,0.0
143,144,304.0
145,146,498.5
147,148,0.0
149,150,317.0
151,152,325.5
153,154,486.5
155,156,486.0
157,158,481.0
159,160,422.0
161,162,101.0
163,164,208.5
165,166,114.5
167,168,280.5
169,170,281.0
171,172,67.0
173,174,420.5
175,176,224.5
177,178,96.0
179,180,151.5
181,182,155.0
183,184,234.0
185,186,163.0
187,188,4.0
189,190,147.0
191,192,206.5
193,194,301.5
195,196,424.5
197,198,583.0
199,200,127.0
201,202,175.0
203,204,127.0
205,206,121.5
207,208,365.0
209,210,399.5
211,212,413.0
213,214,395.5
215,216,108.5
217,218,534.5
219,220,417.5
221,222,567.5
223,224,604.0
225,226,103.0
227,228,525.0
229,230,257.5
231,232,384.5
233,234,385.5
235,236,214.5
237,238,167.5
239,240,223.0
241,242,345.0
