episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,35.0
19,20,80.0
21,22,80.0
23,24,75.0
25,26,80.0
27,28,80.0
29,30,140.0
31,32,135.0
33,34,135.0
35,36,200.0
37,38,200.0
39,40,200.0
41,42,200.0
43,44,140.0
45,46,200.0
47,48,200.0
49,50,140.0
51,52,200.0
53,54,200.0
55,56,200.0
57,58,200.0
59,60,100.0
61,62,200.0
63,64,200.0
65,66,200.0
67,68,200.0
69,70,200.0
71,72,200.0
73,74,200.0
75,76,100.0
77,78,100.0
79,80,100.0
81,82,200.0
83,84,80.0
85,86,80.0
87,88,200.0
89,90,100.0
91,92,200.0
93,94,75.0
95,96,200.0
97,98,70.0
99,100,135.0
101,102,125.0
103,104,200.0
105,106,75.0
107,108,140.0
109,110,200.0
111,112,65.0
113,114,130.0
115,116,200.0
117,118,140.0
119,120,200.0
121,122,140.0
123,124,140.0
125,126,200.0
127,128,200.0
129,130,100.0
131,132,100.0
133,134,35.0
135,136,125.0
137,138,200.0
139,140,200.0
141,142,200.0
143,144,75.0
145,146,200.0
147,148,200.0
149,150,140.0
151,152,200.0
153,154,200.0
155,156,140.0
157,158,200.0
159,160,200.0
161,162,200.0
163,164,100.0
165,166,100.0
167,168,100.0
169,170,100.0
171,172,200.0
173,174,200.0
175,176,140.0
177,178,200.0
179,180,0.0
181,182,140.0
183,184,200.0
185,186,100.0
187,188,200.0
189,190,200.0
191,192,0.0
193,194,100.0
195,196,200.0
197,198,140.0
199,200,200.0
201,202,100.0
203,204,0.0
205,206,200.0
207,208,200.0
209,210,30.0
211,212,80.0
213,214,80.0
215,216,140.0
217,218,135.0
219,220,200.0
221,222,75.0
223,224,200.0
225,226,135.0
227,228,200.0
229,230,200.0
231,232,80.0
233,234,200.0
235,236,200.0
237,238,200.0
239,240,100.0
241,242,200.0
243,244,200.0
245,246,200.0
247,248,200.0
249,250,140.0
251,252,140.0
253,254,40.0
255,256,200.0
257,258,140.0
259,260,0.0
261,262,40.0
263,264,100.0
265,266,100.0
267,268,200.0
269,270,0.0
271,272,100.0
273,274,200.0
275,276,200.0
277,278,140.0
279,280,200.0
281,282,100.0
283,284,200.0
285,286,200.0
287,288,140.0
289,290,30.0
291,292,140.0
293,294,200.0
295,296,135.0
297,298,200.0
299,300,140.0
301,302,200.0
303,304,200.0
305,306,140.0
307,308,100.0
309,310,50.0
311,312,140.0
313,314,200.0
315,316,140.0
317,318,140.0
319,320,100.0
321,322,200.0
323,324,200.0
325,326,200.0
327,328,140.0
329,330,200.0
331,332,200.0
333,334,140.0
335,336,140.0
337,338,200.0
339,340,200.0
341,342,140.0
343,344,200.0
345,346,200.0
347,348,140.0
349,350,200.0
351,352,135.0
353,354,140.0
355,356,200.0
357,358,200.0
359,360,140.0
361,362,140.0
363,364,200.0
365,366,200.0
367,368,140.0
369,370,200.0
371,372,200.0
373,374,200.0
375,376,200.0
377,378,200.0
379,380,200.0
381,382,200.0
383,384,200.0
385,386,100.0
387,388,200.0
389,390,100.0
391,392,100.0
393,394,200.0
395,396,140.0
397,398,0.0
399,400,200.0
401,402,140.0
403,404,40.0
405,406,200.0
407,408,100.0
409,410,140.0
411,412,200.0
413,414,200.0
415,416,100.0
417,418,200.0
419,420,200.0
421,422,80.0
423,424,80.0
425,426,140.0
427,428,140.0
429,430,140.0
431,432,200.0
433,434,200.0
435,436,135.0
437,438,200.0
439,440,100.0
441,442,70.0
443,444,140.0
445,446,140.0
447,448,135.0
449,450,70.0
451,452,200.0
453,454,200.0
455,456,200.0
457,458,200.0
459,460,200.0
461,462,200.0
463,464,200.0
465,466,35.0
467,468,100.0
469,470,100.0
471,472,100.0
473,474,135.0
475,476,70.0
477,478,100.0
479,480,100.0
481,482,100.0
483,484,140.0
485,486,140.0
487,488,135.0
489,490,200.0
491,492,200.0
493,494,100.0
495,496,0.0
497,498,75.0
499,500,200.0
501,502,140.0
503,504,200.0
505,506,140.0
507,508,200.0
509,510,200.0
511,512,200.0
513,514,200.0
515,516,200.0
517,518,200.0
519,520,100.0
521,522,140.0
523,524,135.0
525,526,35.0
527,528,75.0
529,530,135.0
531,532,200.0
533,534,140.0
535,536,80.0
537,538,135.0
539,540,140.0
541,542,200.0
543,544,200.0
545,546,100.0
547,548,100.0
549,550,200.0
551,552,200.0
553,554,135.0
555,556,140.0
557,558,100.0
559,560,65.0
561,562,200.0
563,564,140.0
565,566,135.0
567,568,200.0
569,570,200.0
571,572,200.0
573,574,135.0
575,576,80.0
577,578,200.0
579,580,80.0
581,582,135.0
583,584,135.0
585,586,140.0
587,588,200.0
589,590,135.0
591,592,130.0
593,594,140.0
595,596,200.0
597,598,140.0
599,600,140.0
601,602,135.0
603,604,135.0
605,606,140.0
607,608,30.0
609,610,100.0
611,612,35.0
613,614,75.0
615,616,140.0
617,618,200.0
619,620,70.0
621,622,200.0
623,624,100.0
625,626,135.0
627,628,75.0
629,630,135.0
631,632,135.0
633,634,135.0
635,636,200.0
637,638,135.0
639,640,135.0
641,642,135.0
643,644,80.0
645,646,100.0
647,648,140.0
649,650,70.0
651,652,200.0
653,654,200.0
655,656,135.0
657,658,200.0
659,660,200.0
661,662,200.0
663,664,200.0
665,666,140.0
667,668,140.0
669,670,130.0
671,672,200.0
673,674,140.0
675,676,200.0
677,678,140.0
679,680,140.0
681,682,135.0
683,684,135.0
685,686,200.0
687,688,100.0
689,690,125.0
691,692,125.0
693,694,200.0
695,696,100.0
697,698,135.0
699,700,135.0
701,702,135.0
703,704,135.0
705,706,140.0
707,708,40.0
709,710,140.0
