episode,timestep,reward
1,2,0.0
3,4,0.0
5,6,0.0
7,8,0.0
9,10,0.0
11,12,0.0
13,14,0.0
15,16,0.0
17,18,45.0
19,20,75.0
21,22,80.0
23,24,140.0
25,26,80.0
27,28,130.0
29,30,90.0
31,32,145.0
33,34,100.0
35,36,100.0
37,38,200.0
39,40,135.0
41,42,145.0
43,44,200.0
45,46,140.0
47,48,100.0
49,50,200.0
51,52,200.0
53,54,200.0
55,56,200.0
57,58,200.0
59,60,200.0
61,62,140.0
63,64,140.0
65,66,200.0
67,68,100.0
69,70,45.0
71,72,40.0
73,74,100.0
75,76,100.0
77,78,145.0
79,80,145.0
81,82,200.0
83,84,0.0
85,86,100.0
87,88,100.0
89,90,0.0
91,92,100.0
93,94,50.0
95,96,0.0
97,98,200.0
99,100,100.0
101,102,140.0
103,104,0.0
105,106,45.0
107,108,100.0
109,110,100.0
111,112,100.0
113,114,40.0
115,116,200.0
117,118,85.0
119,120,145.0
121,122,200.0
123,124,100.0
125,126,0.0
127,128,100.0
129,130,90.0
131,132,135.0
133,134,75.0
135,136,140.0
137,138,145.0
139,140,0.0
141,142,100.0
143,144,140.0
145,146,45.0
147,148,100.0
149,150,100.0
151,152,80.0
153,154,100.0
155,156,45.0
157,158,145.0
159,160,200.0
161,162,45.0
163,164,45.0
